,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,玉米,菜粕,沪锌,天胶,PTA,热卷,沪金,鸡蛋,鸡蛋,鸡蛋,鸡蛋,豆粕,动力煤
1,淀粉,豆粕,天胶,铁矿石,沪铝,焦炭,沪银,棕榈油,沪银,塑料,淀粉,沪锌,豆一
2,棕榈油,鸡蛋,白糖,白糖,玉米,鸡蛋,棕榈油,PVC,热卷,沪金,沪镍,螺纹钢,焦煤
3,棉花,豆一,棕榈油,玻璃,棕榈油,沪镍,动力煤,聚丙烯,焦炭,焦煤,沪金,焦煤,棉花
4,沪金,豆油,豆一,焦煤,棉花,PVC,焦炭,淀粉,沪铜,棕榈油,沪银,沪金,菜粕
