,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,豆粕,沥青,菜粕,豆一,玉米,淀粉,菜粕,沥青,沥青,热卷,玻璃,沪铜,玻璃
1,铁矿石,铁矿石,豆一,菜粕,焦煤,豆一,豆粕,热卷,玻璃,豆一,热卷,螺纹钢,豆一
2,沥青,沪镍,沪铝,豆粕,沥青,热卷,豆油,螺纹钢,豆粕,甲醇,PVC,动力煤,动力煤
3,沪镍,天胶,焦炭,沥青,淀粉,沪镍,PTA,聚丙烯,沪铝,淀粉,豆油,棉花,淀粉
4,天胶,PTA,豆粕,PVC,棉花,沥青,PVC,豆一,豆油,沥青,豆粕,白糖,沪铜
