,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,棉花,鸡蛋,鸡蛋,铁矿石,豆一,鸡蛋,豆一,聚丙烯,棉花,聚丙烯,热卷,豆粕,豆粕
1,玉米,铁矿石,铁矿石,鸡蛋,沪镍,沪镍,玻璃,热卷,豆一,玉米,玻璃,铁矿石,沥青
2,沪金,焦炭,焦炭,焦炭,玻璃,螺纹钢,沪锌,鸡蛋,沪铝,热卷,豆一,豆油,豆油
3,豆一,螺纹钢,沪镍,螺纹钢,沪锌,棕榈油,棉花,螺纹钢,天胶,沪铜,豆粕,天胶,铁矿石
4,淀粉,动力煤,螺纹钢,焦煤,甲醇,铁矿石,螺纹钢,棉花,沪银,沪金,沪金,沥青,豆一
