,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,铁矿石,PVC,玻璃,沪镍,玉米,塑料,铁矿石,焦煤,玉米,沥青,铁矿石,沪铜,玻璃
1,焦煤,棉花,沥青,铁矿石,塑料,沪银,沪镍,塑料,沪铝,沪镍,玉米,沪锌,沪锌
2,沪镍,天胶,棉花,焦煤,焦煤,天胶,甲醇,聚丙烯,淀粉,沪银,沪铝,沪铝,沪铝
3,PVC,淀粉,聚丙烯,塑料,沥青,沪铝,焦炭,热卷,豆一,热卷,沪锌,PTA,沪铜
4,热卷,塑料,塑料,聚丙烯,淀粉,棕榈油,螺纹钢,淀粉,沪镍,螺纹钢,螺纹钢,白糖,PTA
