,振幅,1日收益,5日收益,20日收益,成交量变化,日多头持仓占比变化,日空头持仓占比变化,周多头持仓占比变化,周空头持仓占比变化,月多头持仓占比变化,月空头持仓占比变化,1日资金流向,1日资金流向变化率
0,焦炭,沪铝,豆粕,豆粕,玉米,沪银,沪金,动力煤,动力煤,动力煤,动力煤,沪铜,玻璃
1,沪镍,沪铜,菜粕,菜粕,塑料,螺纹钢,沪银,塑料,沪铝,PVC,沪铜,沪铝,沪铜
2,鸡蛋,沪镍,玉米,焦炭,焦煤,焦炭,棕榈油,沪银,焦煤,豆一,棕榈油,沪锌,菜粕
3,焦煤,焦炭,棉花,焦煤,沥青,棕榈油,动力煤,甲醇,棕榈油,焦煤,螺纹钢,螺纹钢,热卷
4,沪锌,聚丙烯,淀粉,淀粉,淀粉,聚丙烯,铁矿石,聚丙烯,PVC,聚丙烯,塑料,白糖,淀粉
