,contract_issue_date,last_trade_date
TF1312.CFE,2013-09-06,2013-12-13
TF1403.CFE,2013-09-06,2014-03-14
TF1406.CFE,2013-09-06,2014-06-13
TF1409.CFE,2013-12-16,2014-09-12
TF1412.CFE,2014-03-17,2014-12-12
TF1503.CFE,2014-06-16,2015-03-13
TF1506.CFE,2014-09-15,2015-06-12
TF1509.CFE,2014-12-15,2015-09-11
TF1512.CFE,2015-03-16,2015-12-11
TF1603.CFE,2015-06-15,2016-03-11
TF1606.CFE,2015-09-14,2016-06-13
TF1609.CFE,2015-12-14,2016-09-09
TF1612.CFE,2016-03-14,2016-12-09
TF1703.CFE,2016-06-14,2017-03-10
TF1706.CFE,2016-09-12,2017-06-09
TF1709.CFE,2016-12-12,2017-09-08
TF1712.CFE,2017-03-13,2017-12-08
TF1803.CFE,2017-06-12,2018-03-09
TF1806.CFE,2017-09-11,2018-06-08
TF1809.CFE,2017-12-11,2018-09-14
TF1812.CFE,2018-03-12,2018-12-14
