,contract_issue_date,last_trade_date
RM1305.CZC,2012-12-28,2013-05-15
RM1307.CZC,2012-12-28,2013-07-12
RM1308.CZC,2012-12-28,2013-08-14
RM1309.CZC,2012-12-28,2013-09-13
RM1311.CZC,2012-12-28,2013-11-14
RM1401.CZC,2013-01-18,2014-01-15
RM1403.CZC,2013-03-15,2014-03-14
RM1405.CZC,2013-05-16,2014-05-16
RM1407.CZC,2013-07-15,2014-07-14
RM1408.CZC,2013-08-15,2014-08-14
RM1409.CZC,2013-09-16,2014-09-15
RM1411.CZC,2013-11-15,2014-11-14
RM1501.CZC,2014-01-16,2015-01-16
RM1503.CZC,2014-03-17,2015-03-13
RM1505.CZC,2014-05-19,2015-05-15
RM1507.CZC,2014-07-15,2015-07-14
RM1508.CZC,2014-08-15,2015-08-14
RM1509.CZC,2014-09-16,2015-09-16
RM1511.CZC,2014-11-17,2015-11-13
RM1601.CZC,2015-01-19,2016-01-15
RM1603.CZC,2015-03-16,2016-03-14
RM1605.CZC,2015-05-18,2016-05-16
RM607.CZC,2015-07-15,2016-07-14
RM608.CZC,2015-08-17,2016-08-12
RM609.CZC,2015-09-17,2016-09-14
RM611.CZC,2015-11-16,2016-11-14
RM701.CZC,2016-01-18,2017-01-16
RM703.CZC,2016-03-15,2017-03-14
RM705.CZC,2016-05-17,2017-05-15
RM707.CZC,2016-07-15,2017-07-14
RM708.CZC,2016-08-15,2017-08-14
RM709.CZC,2016-09-19,2017-09-14
RM711.CZC,2016-11-15,2017-11-14
RM801.CZC,2017-01-17,2018-01-15
RM803.CZC,2017-03-15,2018-03-14
RM805.CZC,2017-05-16,2018-05-15
RM807.CZC,2017-07-17,2018-07-13
RM808.CZC,2017-08-15,2018-08-14
RM809.CZC,2017-09-15,2018-09-14
RM811.CZC,2017-11-15,2018-11-14
RM901.CZC,2018-01-16,2019-01-15
RM903.CZC,2018-03-15,2019-03-14
