,contract_issue_date,last_trade_date
CS1503.DCE,2014-12-19,2015-03-13
CS1505.DCE,2014-12-19,2015-05-15
CS1507.DCE,2014-12-19,2015-07-14
CS1509.DCE,2014-12-19,2015-09-16
CS1511.DCE,2014-12-19,2015-11-13
CS1601.DCE,2015-01-19,2016-01-15
CS1603.DCE,2015-03-16,2016-03-14
CS1605.DCE,2015-05-18,2016-05-16
CS1607.DCE,2015-07-15,2016-07-14
CS1609.DCE,2015-09-17,2016-09-14
CS1611.DCE,2015-11-16,2016-11-14
CS1701.DCE,2016-01-18,2017-01-16
CS1703.DCE,2016-03-15,2017-03-14
CS1705.DCE,2016-05-17,2017-05-15
CS1707.DCE,2016-07-15,2017-07-14
CS1709.DCE,2016-09-19,2017-09-14
CS1711.DCE,2016-11-15,2017-11-14
CS1801.DCE,2017-01-17,2018-01-15
CS1803.DCE,2017-03-15,2018-03-14
CS1805.DCE,2017-05-16,2018-05-15
CS1807.DCE,2017-07-17,2018-07-13
CS1809.DCE,2017-09-15,2018-09-14
CS1811.DCE,2017-11-15,2018-11-14
CS1901.DCE,2018-01-16,2019-01-16
CS1903.DCE,2018-03-15,2019-03-14
