,contract_issue_date,last_trade_date
BU1402.SHF,2013-10-09,2014-02-17
BU1403.SHF,2013-10-09,2014-03-17
BU1404.SHF,2013-10-16,2014-04-15
BU1405.SHF,2013-11-18,2014-05-15
BU1406.SHF,2013-10-09,2014-06-16
BU1407.SHF,2014-01-16,2014-07-15
BU1408.SHF,2014-02-18,2014-08-15
BU1409.SHF,2013-10-09,2014-09-15
BU1410.SHF,2014-04-16,2014-10-15
BU1411.SHF,2014-05-16,2014-11-17
BU1412.SHF,2013-10-09,2014-12-15
BU1501.SHF,2014-07-16,2015-01-15
BU1502.SHF,2014-08-18,2015-02-10
BU1503.SHF,2013-10-09,2015-03-16
BU1504.SHF,2014-10-16,2015-04-15
BU1505.SHF,2014-11-18,2015-05-15
BU1506.SHF,2013-10-09,2015-06-15
BU1507.SHF,2015-01-16,2015-07-15
BU1508.SHF,2015-02-16,2015-08-17
BU1509.SHF,2013-10-09,2015-09-15
BU1510.SHF,2015-04-16,2015-10-15
BU1511.SHF,2015-05-18,2015-11-16
BU1512.SHF,2013-12-17,2015-12-15
BU1601.SHF,2015-07-16,2016-01-15
BU1602.SHF,2015-08-18,2016-02-15
BU1603.SHF,2014-03-18,2016-03-15
BU1604.SHF,2015-10-16,2016-04-15
BU1605.SHF,2015-11-17,2016-05-16
BU1606.SHF,2014-06-17,2016-06-15
BU1607.SHF,2016-01-18,2016-07-15
BU1608.SHF,2016-02-16,2016-08-15
BU1609.SHF,2014-09-16,2016-09-19
BU1610.SHF,2016-04-18,2016-10-17
BU1611.SHF,2016-05-17,2016-11-15
BU1612.SHF,2014-12-16,2016-12-15
BU1701.SHF,2016-07-18,2017-01-16
BU1702.SHF,2016-08-16,2017-02-15
BU1703.SHF,2015-03-17,2017-03-15
BU1704.SHF,2016-10-18,2017-04-17
BU1705.SHF,2016-11-16,2017-05-15
BU1706.SHF,2015-06-16,2017-06-15
BU1707.SHF,2017-01-17,2017-07-17
BU1708.SHF,2017-02-16,2017-08-15
BU1709.SHF,2015-09-16,2017-09-15
BU1710.SHF,2017-04-18,2017-10-16
BU1711.SHF,2017-05-16,2017-11-15
BU1712.SHF,2015-12-16,2017-12-15
BU1801.SHF,2017-07-18,2018-01-15
BU1802.SHF,2017-08-16,2018-02-09
BU1803.SHF,2016-03-16,2018-03-15
BU1804.SHF,2017-10-17,2018-04-16
BU1805.SHF,2017-11-16,2018-05-15
BU1806.SHF,2016-06-16,2018-06-15
BU1807.SHF,2018-01-16,2018-07-16
BU1808.SHF,2018-02-12,2018-08-15
BU1809.SHF,2016-09-20,2018-09-17
BU1810.SHF,2018-04-17,2018-10-15
BU1812.SHF,2016-12-16,2018-12-17
BU1903.SHF,2017-03-16,2019-03-15
BU1906.SHF,2017-06-16,2019-06-17
BU1909.SHF,2017-09-18,2019-09-16
BU1912.SHF,2017-12-18,2019-12-16
BU2003.SHF,2018-03-16,2020-03-16
