,contract_issue_date,last_trade_date
AP805.CZC,2017-12-22,2018-05-15
AP807.CZC,2017-12-22,2018-07-13
AP810.CZC,2017-12-22,2018-10-19
AP811.CZC,2017-12-22,2018-11-14
AP812.CZC,2017-12-22,2018-12-14
AP901.CZC,2018-01-16,2019-01-15
AP903.CZC,2018-03-15,2019-03-14
