,contract_issue_date,last_trade_date
FU0501.SHF,2004-08-25,2004-12-31
FU0503.SHF,2004-08-25,2005-02-28
FU0504.SHF,2004-08-25,2005-03-31
FU0505.SHF,2004-08-25,2005-04-29
FU0506.SHF,2004-08-25,2005-05-31
FU0507.SHF,2004-08-25,2005-06-30
FU0508.SHF,2004-08-25,2005-07-29
FU0509.SHF,2004-09-01,2005-08-31
FU0510.SHF,2004-10-08,2005-09-30
FU0511.SHF,2004-11-01,2005-10-31
FU0512.SHF,2004-12-01,2005-11-30
FU0602.SHF,2005-02-01,2006-01-27
FU0603.SHF,2005-03-01,2006-02-28
FU0604.SHF,2005-04-01,2006-03-31
FU0605.SHF,2005-05-09,2006-04-28
FU0606.SHF,2005-06-01,2006-05-31
FU0607.SHF,2005-07-01,2006-06-30
FU0608.SHF,2005-08-01,2006-07-31
FU0609.SHF,2005-09-01,2006-08-31
FU0610.SHF,2005-10-10,2006-09-29
FU0611.SHF,2005-11-01,2006-10-31
FU0612.SHF,2005-12-01,2006-11-30
FU0701.SHF,2006-01-04,2006-12-29
FU0703.SHF,2006-03-01,2007-02-28
FU0704.SHF,2006-04-03,2007-03-30
FU0705.SHF,2006-05-08,2007-04-30
FU0706.SHF,2006-06-01,2007-05-31
FU0707.SHF,2006-07-03,2007-06-29
FU0708.SHF,2006-08-01,2007-07-31
FU0709.SHF,2006-09-01,2007-08-31
FU0710.SHF,2006-10-09,2007-09-28
FU0711.SHF,2006-11-01,2007-10-31
FU0712.SHF,2006-12-01,2007-11-30
FU0801.SHF,2007-01-04,2007-12-28
FU0803.SHF,2007-03-01,2008-02-29
FU0804.SHF,2007-04-02,2008-03-31
FU0805.SHF,2007-05-08,2008-04-30
FU0806.SHF,2007-06-01,2008-05-30
FU0807.SHF,2007-07-02,2008-06-30
FU0808.SHF,2007-08-01,2008-07-31
FU0809.SHF,2007-09-03,2008-08-29
FU0810.SHF,2007-10-08,2008-09-26
FU0811.SHF,2007-11-01,2008-10-31
FU0812.SHF,2007-12-03,2008-11-28
FU0902.SHF,2008-02-01,2009-01-23
FU0903.SHF,2008-03-03,2009-02-27
FU0904.SHF,2008-04-01,2009-03-31
FU0905.SHF,2008-05-05,2009-04-30
FU0906.SHF,2008-06-02,2009-05-27
FU0907.SHF,2008-07-01,2009-06-30
FU0908.SHF,2008-08-01,2009-07-31
FU0909.SHF,2008-09-01,2009-08-31
FU0910.SHF,2008-10-06,2009-09-30
FU0911.SHF,2008-11-03,2009-10-30
FU0912.SHF,2008-12-01,2009-11-30
FU1001.SHF,2009-01-05,2009-12-31
FU1003.SHF,2009-03-02,2010-02-26
FU1004.SHF,2009-04-01,2010-03-31
FU1005.SHF,2009-05-04,2010-04-30
FU1006.SHF,2009-06-01,2010-05-31
FU1007.SHF,2009-07-01,2010-06-30
FU1008.SHF,2009-08-03,2010-07-30
FU1009.SHF,2009-09-01,2010-08-31
FU1010.SHF,2009-10-09,2010-09-30
FU1011.SHF,2009-11-02,2010-10-29
FU1012.SHF,2009-12-01,2010-11-30
FU1101.SHF,2010-01-04,2010-12-31
FU1103.SHF,2010-03-01,2011-02-28
FU1104.SHF,2010-04-01,2011-03-31
FU1105.SHF,2010-05-04,2011-04-29
FU1106.SHF,2010-06-01,2011-05-31
FU1107.SHF,2010-07-01,2011-06-30
