,contract_issue_date,last_trade_date
SM1411.CZC,2014-08-08,2014-11-14
SM1412.CZC,2014-08-08,2014-12-12
SM1501.CZC,2014-08-08,2015-01-16
SM1502.CZC,2014-08-08,2015-02-13
SM1503.CZC,2014-08-08,2015-03-13
SM1504.CZC,2014-08-08,2015-04-15
SM1505.CZC,2014-08-08,2015-05-15
SM1506.CZC,2014-08-08,2015-06-12
SM1507.CZC,2014-08-08,2015-07-14
SM1508.CZC,2014-08-15,2015-08-14
SM1509.CZC,2014-09-16,2015-09-16
SM1510.CZC,2014-10-22,2015-10-21
SM1511.CZC,2014-11-17,2015-11-13
SM1512.CZC,2014-12-15,2015-12-14
SM1601.CZC,2015-01-19,2016-01-15
SM1602.CZC,2015-02-16,2016-02-19
SM1603.CZC,2015-03-16,2016-03-14
SM1604.CZC,2015-04-16,2016-04-15
SM1605.CZC,2015-05-18,2016-05-16
SM1606.CZC,2015-06-15,2016-06-16
SM607.CZC,2015-07-15,2016-07-14
SM608.CZC,2015-08-17,2016-08-12
SM609.CZC,2015-09-17,2016-09-14
SM610.CZC,2015-10-22,2016-10-21
SM611.CZC,2015-11-16,2016-11-14
SM612.CZC,2015-12-15,2016-12-14
SM701.CZC,2016-01-18,2017-01-16
SM702.CZC,2016-02-22,2017-02-16
SM703.CZC,2016-03-15,2017-03-14
SM704.CZC,2016-04-18,2017-04-18
SM705.CZC,2016-05-17,2017-05-15
SM706.CZC,2016-06-17,2017-06-14
SM707.CZC,2016-07-15,2017-07-14
SM708.CZC,2016-08-15,2017-08-14
SM709.CZC,2016-09-19,2017-09-14
SM710.CZC,2016-10-24,2017-10-20
SM711.CZC,2016-11-15,2017-11-14
SM712.CZC,2016-12-15,2017-12-14
SM801.CZC,2017-01-17,2018-01-15
SM802.CZC,2017-02-17,2018-02-14
SM803.CZC,2017-03-15,2018-03-14
SM804.CZC,2017-04-19,2018-04-17
SM805.CZC,2017-05-16,2018-05-15
SM806.CZC,2017-06-15,2018-06-14
SM807.CZC,2017-07-17,2018-07-13
SM808.CZC,2017-08-15,2018-08-14
SM809.CZC,2017-09-15,2018-09-14
SM810.CZC,2017-10-23,2018-10-19
SM811.CZC,2017-11-15,2018-11-14
SM812.CZC,2017-12-15,2018-12-14
SM901.CZC,2018-01-16,2019-01-15
SM902.CZC,2018-02-22,2019-02-14
SM903.CZC,2018-03-15,2019-03-14
SM904.CZC,2018-04-18,2019-04-15
