,contract_issue_date,last_trade_date
TC1312.CZC,2013-09-26,2013-12-06
TC1401.CZC,2013-09-26,2014-01-08
TC1402.CZC,2013-09-26,2014-02-13
TC1403.CZC,2013-09-26,2014-03-07
TC1404.CZC,2013-09-26,2014-04-08
TC1405.CZC,2013-09-26,2014-05-09
TC1406.CZC,2013-09-26,2014-06-09
TC1407.CZC,2013-09-26,2014-07-07
TC1408.CZC,2013-09-26,2014-08-07
TC1409.CZC,2013-09-26,2014-09-05
TC1410.CZC,2013-10-15,2014-10-14
TC1411.CZC,2013-11-08,2014-11-07
TC1412.CZC,2013-12-09,2014-12-05
TC1501.CZC,2014-01-09,2015-01-09
TC1502.CZC,2014-02-14,2015-02-06
TC1503.CZC,2014-03-10,2015-03-06
TC1504.CZC,2014-04-09,2015-04-08
TC1505.CZC,2014-05-12,2015-05-08
TC1506.CZC,2014-06-10,2015-06-05
TC1507.CZC,2014-07-08,2015-07-07
TC1508.CZC,2014-08-08,2015-08-07
TC1509.CZC,2014-09-09,2015-09-09
TC1510.CZC,2014-10-15,2015-10-14
TC1511.CZC,2014-11-10,2015-11-06
TC1512.CZC,2014-12-08,2015-12-07
TC1601.CZC,2015-01-12,2016-01-08
TC1602.CZC,2015-02-09,2016-02-05
TC1603.CZC,2015-03-09,2016-03-07
TC1604.CZC,2015-04-09,2016-04-08
ZC1605.CZC,2015-05-18,2016-05-09
ZC1606.CZC,2015-06-08,2016-06-07
ZC607.CZC,2015-07-08,2016-07-07
ZC608.CZC,2015-08-10,2016-08-05
ZC609.CZC,2015-09-10,2016-09-07
ZC610.CZC,2015-10-15,2016-10-14
ZC611.CZC,2015-11-09,2016-11-07
ZC612.CZC,2015-12-08,2016-12-07
ZC701.CZC,2016-01-11,2017-01-09
ZC702.CZC,2016-02-15,2017-02-09
ZC703.CZC,2016-03-08,2017-03-07
ZC704.CZC,2016-04-11,2017-04-11
ZC705.CZC,2016-05-10,2017-05-08
ZC706.CZC,2016-06-08,2017-06-07
ZC707.CZC,2016-07-08,2017-07-07
ZC708.CZC,2016-08-08,2017-08-07
ZC709.CZC,2016-09-08,2017-09-07
ZC710.CZC,2016-10-17,2017-10-13
ZC711.CZC,2016-11-08,2017-11-07
ZC712.CZC,2016-12-08,2017-12-07
ZC801.CZC,2017-01-10,2018-01-08
ZC802.CZC,2017-02-10,2018-02-07
ZC803.CZC,2017-03-08,2018-03-07
ZC804.CZC,2017-04-12,2018-04-10
ZC805.CZC,2017-05-09,2018-05-08
ZC806.CZC,2017-06-08,2018-06-07
ZC807.CZC,2017-07-10,2018-07-06
ZC808.CZC,2017-08-08,2018-08-07
ZC809.CZC,2017-09-08,2018-09-07
ZC810.CZC,2017-10-16,2018-10-12
ZC811.CZC,2017-11-08,2018-11-07
ZC812.CZC,2017-12-08,2018-12-07
ZC901.CZC,2018-01-09,2019-01-07
ZC902.CZC,2018-02-08,2019-02-14
ZC903.CZC,2018-03-08,2019-03-07
ZC904.CZC,2018-04-11,2019-04-08
