,contract_issue_date,last_trade_date
AU0806.SHF,2008-01-09,2008-06-16
AU0807.SHF,2008-01-09,2008-07-15
AU0808.SHF,2008-01-09,2008-08-15
AU0809.SHF,2008-01-09,2008-09-16
AU0810.SHF,2008-01-09,2008-10-15
AU0811.SHF,2008-01-09,2008-11-17
AU0812.SHF,2008-01-09,2008-12-15
AU0901.SHF,2008-01-16,2009-01-15
AU0902.SHF,2008-02-18,2009-02-16
AU0903.SHF,2008-03-18,2009-03-16
AU0904.SHF,2008-04-16,2009-04-15
AU0905.SHF,2008-05-16,2009-05-15
AU0906.SHF,2008-06-17,2009-06-15
AU0907.SHF,2008-07-16,2009-07-15
AU0908.SHF,2008-08-18,2009-08-17
AU0909.SHF,2008-09-17,2009-09-15
AU0910.SHF,2008-10-16,2009-10-15
AU0911.SHF,2008-11-18,2009-11-16
AU0912.SHF,2008-12-16,2009-12-15
AU1001.SHF,2009-01-16,2010-01-15
AU1002.SHF,2009-02-17,2010-02-09
AU1003.SHF,2009-03-17,2010-03-15
AU1004.SHF,2009-04-16,2010-04-15
AU1005.SHF,2009-05-18,2010-05-17
AU1006.SHF,2009-06-16,2010-06-17
AU1007.SHF,2009-07-16,2010-07-15
AU1008.SHF,2009-08-18,2010-08-16
AU1009.SHF,2009-09-16,2010-09-15
AU1010.SHF,2009-10-16,2010-10-15
AU1011.SHF,2009-11-17,2010-11-15
AU1012.SHF,2009-12-16,2010-12-15
AU1101.SHF,2010-01-18,2011-01-17
AU1102.SHF,2010-02-22,2011-02-15
AU1103.SHF,2010-03-16,2011-03-15
AU1104.SHF,2010-04-16,2011-04-15
AU1105.SHF,2010-05-18,2011-05-16
AU1106.SHF,2010-06-18,2011-06-15
AU1107.SHF,2010-07-16,2011-07-15
AU1108.SHF,2010-08-17,2011-08-15
AU1109.SHF,2010-09-16,2011-09-15
AU1110.SHF,2010-10-18,2011-10-17
AU1111.SHF,2010-11-16,2011-11-15
AU1112.SHF,2010-12-16,2011-12-15
AU1201.SHF,2011-01-18,2012-01-13
AU1202.SHF,2011-02-16,2012-02-15
AU1203.SHF,2011-03-16,2012-03-15
AU1204.SHF,2011-04-18,2012-04-16
AU1205.SHF,2011-05-17,2012-05-15
AU1206.SHF,2011-06-16,2012-06-15
AU1207.SHF,2011-07-18,2012-07-16
AU1208.SHF,2011-08-16,2012-08-15
AU1209.SHF,2011-09-16,2012-09-17
AU1210.SHF,2011-10-18,2012-10-15
AU1211.SHF,2011-11-16,2012-11-15
AU1212.SHF,2011-12-16,2012-12-17
AU1301.SHF,2012-01-16,2013-01-15
AU1302.SHF,2012-02-16,2013-02-18
AU1303.SHF,2012-03-16,2013-03-15
AU1304.SHF,2012-04-17,2013-04-15
AU1305.SHF,2012-05-16,2013-05-15
AU1306.SHF,2012-06-18,2013-06-17
AU1307.SHF,2012-07-17,2013-07-15
AU1308.SHF,2012-08-16,2013-08-15
AU1309.SHF,2012-09-18,2013-09-16
AU1310.SHF,2012-10-16,2013-10-15
AU1311.SHF,2012-11-16,2013-11-15
AU1312.SHF,2012-12-18,2013-12-16
AU1401.SHF,2013-01-16,2014-01-15
AU1402.SHF,2013-02-19,2014-02-17
AU1403.SHF,2013-03-18,2014-03-17
AU1404.SHF,2013-04-16,2014-04-15
AU1405.SHF,2013-05-16,2014-05-15
AU1406.SHF,2013-06-18,2014-06-16
AU1407.SHF,2013-07-16,2014-07-15
AU1408.SHF,2013-08-16,2014-08-15
AU1409.SHF,2014-06-17,2014-09-15
AU1410.SHF,2013-10-16,2014-10-15
AU1411.SHF,2014-08-18,2014-11-17
AU1412.SHF,2013-12-17,2014-12-15
AU1501.SHF,2014-10-16,2015-01-15
AU1502.SHF,2014-02-18,2015-02-10
AU1503.SHF,2014-12-16,2015-03-16
AU1504.SHF,2014-04-16,2015-04-15
AU1505.SHF,2015-02-16,2015-05-15
AU1506.SHF,2014-07-16,2015-06-15
AU1507.SHF,2015-04-16,2015-07-15
AU1508.SHF,2014-09-16,2015-08-17
AU1509.SHF,2015-06-16,2015-09-15
AU1510.SHF,2014-11-18,2015-10-15
AU1511.SHF,2015-08-18,2015-11-16
AU1512.SHF,2015-01-16,2015-12-15
AU1601.SHF,2015-10-16,2016-01-15
AU1602.SHF,2015-03-17,2016-02-15
AU1603.SHF,2015-12-16,2016-03-15
AU1604.SHF,2015-04-16,2016-04-15
AU1605.SHF,2016-02-16,2016-05-16
AU1606.SHF,2015-05-18,2016-06-15
AU1607.SHF,2016-04-18,2016-07-15
AU1608.SHF,2015-07-16,2016-08-15
AU1609.SHF,2016-06-16,2016-09-19
AU1610.SHF,2015-09-16,2016-10-17
AU1611.SHF,2016-08-16,2016-11-15
AU1612.SHF,2015-11-17,2016-12-15
AU1701.SHF,2016-10-18,2017-01-16
AU1702.SHF,2016-01-18,2017-02-15
AU1703.SHF,2016-12-16,2017-03-15
AU1704.SHF,2016-03-16,2017-04-17
AU1705.SHF,2017-02-16,2017-05-15
AU1706.SHF,2016-05-17,2017-06-15
AU1707.SHF,2017-04-18,2017-07-17
AU1708.SHF,2016-07-18,2017-08-15
AU1709.SHF,2017-06-16,2017-09-15
AU1710.SHF,2016-09-20,2017-10-16
AU1711.SHF,2017-08-16,2017-11-15
AU1712.SHF,2016-11-16,2017-12-15
AU1801.SHF,2017-10-17,2018-01-15
AU1802.SHF,2017-01-17,2018-02-09
AU1803.SHF,2017-12-18,2018-03-15
AU1804.SHF,2017-03-16,2018-04-16
AU1805.SHF,2018-02-12,2018-05-15
AU1806.SHF,2017-05-16,2018-06-15
AU1807.SHF,2018-04-17,2018-07-16
AU1808.SHF,2017-07-18,2018-08-15
AU1810.SHF,2017-09-18,2018-10-15
AU1812.SHF,2017-11-16,2018-12-17
AU1902.SHF,2018-01-16,2019-02-15
AU1904.SHF,2018-03-16,2019-04-15
