,contract_issue_date,last_trade_date
IF1005.CFE,2010-04-16,2010-05-21
IF1006.CFE,2010-04-16,2010-06-18
IF1007.CFE,2010-05-24,2010-07-16
IF1008.CFE,2010-06-21,2010-08-20
IF1009.CFE,2010-04-16,2010-09-17
IF1010.CFE,2010-08-23,2010-10-15
IF1011.CFE,2010-09-20,2010-11-19
IF1012.CFE,2010-04-16,2010-12-17
IF1101.CFE,2010-11-22,2011-01-21
IF1102.CFE,2010-12-20,2011-02-18
IF1103.CFE,2010-07-19,2011-03-18
IF1104.CFE,2011-02-21,2011-04-15
IF1105.CFE,2011-03-21,2011-05-20
IF1106.CFE,2010-10-18,2011-06-17
IF1107.CFE,2011-05-23,2011-07-15
IF1108.CFE,2011-06-20,2011-08-19
IF1109.CFE,2011-01-24,2011-09-16
IF1110.CFE,2011-08-22,2011-10-21
IF1111.CFE,2011-09-19,2011-11-18
IF1112.CFE,2011-04-18,2011-12-16
IF1201.CFE,2011-11-21,2012-01-20
IF1202.CFE,2011-12-19,2012-02-17
IF1203.CFE,2011-07-18,2012-03-16
IF1204.CFE,2012-02-20,2012-04-20
IF1205.CFE,2012-03-19,2012-05-18
IF1206.CFE,2011-10-24,2012-06-15
IF1207.CFE,2012-05-21,2012-07-20
IF1208.CFE,2012-06-18,2012-08-17
IF1209.CFE,2012-01-30,2012-09-21
IF1210.CFE,2012-08-20,2012-10-19
IF1211.CFE,2012-09-24,2012-11-16
IF1212.CFE,2012-04-23,2012-12-21
IF1301.CFE,2012-11-19,2013-01-18
IF1302.CFE,2012-12-24,2013-02-18
IF1303.CFE,2012-07-23,2013-03-15
IF1304.CFE,2013-02-19,2013-04-19
IF1305.CFE,2013-03-18,2013-05-17
IF1306.CFE,2012-10-22,2013-06-21
IF1307.CFE,2013-05-20,2013-07-19
IF1308.CFE,2013-06-24,2013-08-16
IF1309.CFE,2013-01-21,2013-09-23
IF1310.CFE,2013-08-19,2013-10-18
IF1311.CFE,2013-09-24,2013-11-15
IF1312.CFE,2013-04-22,2013-12-20
IF1401.CFE,2013-11-18,2014-01-17
IF1402.CFE,2013-12-23,2014-02-21
IF1403.CFE,2013-07-22,2014-03-21
IF1404.CFE,2014-02-24,2014-04-18
IF1405.CFE,2014-03-24,2014-05-16
IF1406.CFE,2013-10-21,2014-06-20
IF1407.CFE,2014-05-19,2014-07-18
IF1408.CFE,2014-06-23,2014-08-15
IF1409.CFE,2014-01-20,2014-09-19
IF1410.CFE,2014-08-18,2014-10-17
IF1411.CFE,2014-09-22,2014-11-21
IF1412.CFE,2014-04-21,2014-12-19
IF1501.CFE,2014-11-24,2015-01-16
IF1502.CFE,2014-12-22,2015-02-25
IF1503.CFE,2014-07-21,2015-03-20
IF1504.CFE,2015-02-26,2015-04-17
IF1505.CFE,2015-03-23,2015-05-15
IF1506.CFE,2014-10-20,2015-06-19
IF1507.CFE,2015-05-18,2015-07-17
IF1508.CFE,2015-06-23,2015-08-21
IF1509.CFE,2015-01-19,2015-09-18
IF1510.CFE,2015-08-24,2015-10-16
IF1511.CFE,2015-09-21,2015-11-20
IF1512.CFE,2015-04-20,2015-12-18
IF1601.CFE,2015-11-23,2016-01-15
IF1602.CFE,2015-12-21,2016-02-19
IF1603.CFE,2015-07-20,2016-03-18
IF1604.CFE,2016-02-22,2016-04-15
IF1605.CFE,2016-03-21,2016-05-20
IF1606.CFE,2015-10-19,2016-06-17
IF1607.CFE,2016-05-23,2016-07-15
IF1608.CFE,2016-06-20,2016-08-19
IF1609.CFE,2016-01-18,2016-09-19
IF1610.CFE,2016-08-22,2016-10-21
IF1611.CFE,2016-09-20,2016-11-18
IF1612.CFE,2016-04-18,2016-12-16
IF1701.CFE,2016-11-21,2017-01-20
IF1702.CFE,2016-12-19,2017-02-17
IF1703.CFE,2016-07-18,2017-03-17
IF1704.CFE,2017-02-20,2017-04-21
IF1705.CFE,2017-03-20,2017-05-19
IF1706.CFE,2016-10-24,2017-06-16
IF1707.CFE,2017-05-22,2017-07-21
IF1708.CFE,2017-06-19,2017-08-18
IF1709.CFE,2017-01-23,2017-09-15
IF1710.CFE,2017-08-21,2017-10-20
IF1711.CFE,2017-09-18,2017-11-17
IF1712.CFE,2017-04-24,2017-12-15
IF1801.CFE,2017-11-20,2018-01-19
IF1802.CFE,2017-12-18,2018-02-22
IF1803.CFE,2017-07-24,2018-03-16
IF1804.CFE,2018-02-23,2018-04-20
IF1805.CFE,2018-03-19,2018-05-18
IF1806.CFE,2017-10-23,2018-06-15
IF1809.CFE,2018-01-22,2018-09-21
