,contract_issue_date,last_trade_date
JM1307.DCE,2013-03-22,2013-07-12
JM1308.DCE,2013-03-22,2013-08-14
JM1309.DCE,2013-03-22,2013-09-13
JM1310.DCE,2013-03-22,2013-10-21
JM1311.DCE,2013-03-22,2013-11-14
JM1312.DCE,2013-03-22,2013-12-13
JM1401.DCE,2013-03-22,2014-01-15
JM1402.DCE,2013-03-22,2014-02-20
JM1403.DCE,2013-03-22,2014-03-14
JM1404.DCE,2013-04-17,2014-04-15
JM1405.DCE,2013-05-16,2014-05-16
JM1406.DCE,2013-06-20,2014-06-16
JM1407.DCE,2013-07-15,2014-07-14
JM1408.DCE,2013-08-15,2014-08-14
JM1409.DCE,2013-09-16,2014-09-15
JM1410.DCE,2013-10-22,2014-10-21
JM1411.DCE,2013-11-15,2014-11-14
JM1412.DCE,2013-12-16,2014-12-12
JM1501.DCE,2014-01-16,2015-01-16
JM1502.DCE,2014-02-21,2015-02-13
JM1503.DCE,2014-03-17,2015-03-13
JM1504.DCE,2014-04-16,2015-04-15
JM1505.DCE,2014-05-19,2015-05-15
JM1506.DCE,2014-06-17,2015-06-12
JM1507.DCE,2014-07-15,2015-07-14
JM1508.DCE,2014-08-15,2015-08-14
JM1509.DCE,2014-09-16,2015-09-16
JM1510.DCE,2014-10-22,2015-10-21
JM1511.DCE,2014-11-17,2015-11-13
JM1512.DCE,2014-12-15,2015-12-14
JM1601.DCE,2015-01-19,2016-01-15
JM1602.DCE,2015-02-16,2016-02-19
JM1603.DCE,2015-03-16,2016-03-14
JM1604.DCE,2015-04-16,2016-04-15
JM1605.DCE,2015-05-18,2016-05-16
JM1606.DCE,2015-06-15,2016-06-16
JM1607.DCE,2015-07-15,2016-07-14
JM1608.DCE,2015-08-17,2016-08-12
JM1609.DCE,2015-09-17,2016-09-14
JM1610.DCE,2015-10-22,2016-10-21
JM1611.DCE,2015-11-16,2016-11-14
JM1612.DCE,2015-12-15,2016-12-14
JM1701.DCE,2016-01-18,2017-01-16
JM1702.DCE,2016-02-22,2017-02-16
JM1703.DCE,2016-03-15,2017-03-14
JM1704.DCE,2016-04-18,2017-04-18
JM1705.DCE,2016-05-17,2017-05-15
JM1706.DCE,2016-06-17,2017-06-14
JM1707.DCE,2016-07-15,2017-07-14
JM1708.DCE,2016-08-15,2017-08-14
JM1709.DCE,2016-09-19,2017-09-14
JM1710.DCE,2016-10-24,2017-10-20
JM1711.DCE,2016-11-15,2017-11-14
JM1712.DCE,2016-12-15,2017-12-14
JM1801.DCE,2017-01-17,2018-01-15
JM1802.DCE,2017-02-17,2018-02-14
JM1803.DCE,2017-03-15,2018-03-14
JM1804.DCE,2017-04-19,2018-04-17
JM1805.DCE,2017-05-16,2018-05-15
JM1806.DCE,2017-06-15,2018-06-14
JM1807.DCE,2017-07-17,2018-07-13
JM1808.DCE,2017-08-15,2018-08-14
JM1809.DCE,2017-09-15,2018-09-14
JM1810.DCE,2017-10-23,2018-10-19
JM1811.DCE,2017-11-15,2018-11-14
JM1812.DCE,2017-12-15,2018-12-14
JM1901.DCE,2018-01-16,2019-01-16
JM1902.DCE,2018-02-22,2019-02-15
JM1903.DCE,2018-03-15,2019-03-14
JM1904.DCE,2018-04-18,2019-04-17
