,contract_issue_date,last_trade_date
CU9901.SHF,1998-06-08,1999-01-15
CU9902.SHF,1998-08-03,1999-03-01
CU9903.SHF,1998-07-29,1999-03-15
CU9904.SHF,1998-08-12,1999-04-15
CU9905.SHF,1998-08-13,1999-05-17
CU9906.SHF,1998-09-14,1999-06-15
CU9907.SHF,1998-12-03,1999-07-15
CU9908.SHF,1999-01-07,1999-08-16
CU9909.SHF,1999-03-25,1999-09-15
CU9910.SHF,1999-04-23,1999-10-15
CU9911.SHF,1999-04-30,1999-11-15
CU9912.SHF,1999-05-25,1999-12-15
CU0001.SHF,1999-06-18,2000-01-17
CU0002.SHF,1999-07-01,2000-02-15
CU0003.SHF,1999-07-08,2000-03-15
CU0004.SHF,1999-09-07,2000-04-17
CU0005.SHF,1999-10-11,2000-05-15
CU0006.SHF,1999-11-17,2000-06-15
CU0007.SHF,1999-12-22,2000-07-17
CU0008.SHF,2000-01-17,2000-08-15
CU0009.SHF,2000-02-17,2000-09-15
CU0010.SHF,2000-03-14,2000-10-16
CU0011.SHF,2000-04-20,2000-11-15
CU0012.SHF,2000-05-31,2000-12-15
CU0101.SHF,2000-07-04,2001-01-15
CU0102.SHF,2000-07-27,2001-02-15
CU0103.SHF,2000-08-22,2001-03-15
CU0104.SHF,2000-09-15,2001-04-16
CU0105.SHF,2000-10-11,2001-05-15
CU0106.SHF,2000-10-26,2001-06-15
CU0107.SHF,2000-11-16,2001-07-16
CU0108.SHF,2000-12-01,2001-08-15
CU0109.SHF,2001-02-21,2001-09-17
CU0110.SHF,2001-03-21,2001-10-15
CU0111.SHF,2001-04-24,2001-11-15
CU0112.SHF,2001-05-18,2001-12-17
CU0201.SHF,2001-06-18,2002-01-15
CU0202.SHF,2001-06-18,2002-02-19
CU0203.SHF,2001-08-16,2002-03-15
CU0204.SHF,2001-08-22,2002-04-15
CU0205.SHF,2001-09-20,2002-05-15
CU0206.SHF,2001-10-18,2002-06-17
CU0207.SHF,2001-10-09,2002-07-15
CU0208.SHF,2001-10-12,2002-08-15
CU0209.SHF,2001-11-23,2002-09-16
CU0210.SHF,2002-02-01,2002-10-15
CU0211.SHF,2002-03-05,2002-11-15
CU0212.SHF,2002-03-07,2002-12-16
CU0301.SHF,2002-04-22,2003-01-15
CU0302.SHF,2002-06-10,2003-02-17
CU0303.SHF,2002-05-23,2003-03-17
CU0304.SHF,2002-08-29,2003-04-15
CU0305.SHF,2002-09-06,2003-05-15
CU0306.SHF,2002-08-20,2003-06-16
CU0307.SHF,2002-11-06,2003-07-15
CU0308.SHF,2002-11-08,2003-08-15
CU0309.SHF,2002-11-22,2003-09-15
CU0310.SHF,2002-11-11,2003-10-15
CU0311.SHF,2003-01-17,2003-11-17
CU0312.SHF,2003-01-23,2003-12-15
CU0401.SHF,2003-01-16,2004-01-15
CU0402.SHF,2003-02-18,2004-02-16
CU0403.SHF,2003-03-18,2004-03-15
CU0404.SHF,2003-04-16,2004-04-15
CU0405.SHF,2003-05-16,2004-05-17
CU0406.SHF,2003-06-17,2004-06-15
CU0407.SHF,2003-07-16,2004-07-15
CU0408.SHF,2003-08-18,2004-08-16
CU0409.SHF,2003-09-16,2004-09-15
CU0410.SHF,2003-10-16,2004-10-15
CU0411.SHF,2003-11-18,2004-11-15
CU0412.SHF,2003-12-16,2004-12-15
CU0501.SHF,2004-01-16,2005-01-17
CU0502.SHF,2004-02-17,2005-02-04
CU0503.SHF,2004-03-16,2005-03-15
CU0504.SHF,2004-04-16,2005-04-15
CU0505.SHF,2004-05-18,2005-05-16
CU0506.SHF,2004-06-16,2005-06-15
CU0507.SHF,2004-07-16,2005-07-15
CU0508.SHF,2004-08-17,2005-08-15
CU0509.SHF,2004-09-16,2005-09-15
CU0510.SHF,2004-10-18,2005-10-17
CU0511.SHF,2004-11-16,2005-11-15
CU0512.SHF,2004-12-16,2005-12-15
CU0601.SHF,2005-01-18,2006-01-16
CU0602.SHF,2005-02-16,2006-02-15
CU0603.SHF,2005-03-16,2006-03-15
CU0604.SHF,2005-04-18,2006-04-17
CU0605.SHF,2005-05-17,2006-05-15
CU0606.SHF,2005-06-16,2006-06-15
CU0607.SHF,2005-07-18,2006-07-17
CU0608.SHF,2005-08-16,2006-08-15
CU0609.SHF,2005-09-16,2006-09-15
CU0610.SHF,2005-10-18,2006-10-16
CU0611.SHF,2005-11-16,2006-11-15
CU0612.SHF,2005-12-16,2006-12-15
CU0701.SHF,2006-01-17,2007-01-15
CU0702.SHF,2006-02-16,2007-02-12
CU0703.SHF,2006-03-16,2007-03-15
CU0704.SHF,2006-04-18,2007-04-16
CU0705.SHF,2006-05-16,2007-05-15
CU0706.SHF,2006-06-16,2007-06-15
CU0707.SHF,2006-07-18,2007-07-16
CU0708.SHF,2006-08-16,2007-08-15
CU0709.SHF,2006-09-18,2007-09-17
CU0710.SHF,2006-10-17,2007-10-15
CU0711.SHF,2006-11-16,2007-11-15
CU0712.SHF,2006-12-18,2007-12-17
CU0801.SHF,2007-01-16,2008-01-15
CU0802.SHF,2007-02-13,2008-02-15
CU0803.SHF,2007-03-16,2008-03-17
CU0804.SHF,2007-04-17,2008-04-15
CU0805.SHF,2007-05-16,2008-05-15
CU0806.SHF,2007-06-18,2008-06-16
CU0807.SHF,2007-07-17,2008-07-15
CU0808.SHF,2007-08-16,2008-08-15
CU0809.SHF,2007-09-18,2008-09-16
CU0810.SHF,2007-10-16,2008-10-15
CU0811.SHF,2007-11-16,2008-11-17
CU0812.SHF,2007-12-18,2008-12-15
CU0901.SHF,2008-01-16,2009-01-15
CU0902.SHF,2008-02-18,2009-02-16
CU0903.SHF,2008-03-18,2009-03-16
CU0904.SHF,2008-04-16,2009-04-15
CU0905.SHF,2008-05-16,2009-05-15
CU0906.SHF,2008-06-17,2009-06-15
CU0907.SHF,2008-07-16,2009-07-15
CU0908.SHF,2008-08-18,2009-08-17
CU0909.SHF,2008-09-17,2009-09-15
CU0910.SHF,2008-10-16,2009-10-15
CU0911.SHF,2008-11-18,2009-11-16
CU0912.SHF,2008-12-16,2009-12-15
CU1001.SHF,2009-01-16,2010-01-15
CU1002.SHF,2009-02-17,2010-02-09
CU1003.SHF,2009-03-17,2010-03-15
CU1004.SHF,2009-04-16,2010-04-15
CU1005.SHF,2009-05-18,2010-05-17
CU1006.SHF,2009-06-16,2010-06-17
CU1007.SHF,2009-07-16,2010-07-15
CU1008.SHF,2009-08-18,2010-08-16
CU1009.SHF,2009-09-16,2010-09-15
CU1010.SHF,2009-10-16,2010-10-15
CU1011.SHF,2009-11-17,2010-11-15
CU1012.SHF,2009-12-16,2010-12-15
CU1101.SHF,2010-01-18,2011-01-17
CU1102.SHF,2010-02-22,2011-02-15
CU1103.SHF,2010-03-16,2011-03-15
CU1104.SHF,2010-04-16,2011-04-15
CU1105.SHF,2010-05-18,2011-05-16
CU1106.SHF,2010-06-18,2011-06-15
CU1107.SHF,2010-07-16,2011-07-15
CU1108.SHF,2010-08-17,2011-08-15
CU1109.SHF,2010-09-16,2011-09-15
CU1110.SHF,2010-10-18,2011-10-17
