,contract_issue_date,last_trade_date
HC1407.SHF,2014-03-21,2014-07-15
HC1408.SHF,2014-03-21,2014-08-15
HC1409.SHF,2014-03-21,2014-09-15
HC1410.SHF,2014-03-21,2014-10-15
HC1411.SHF,2014-03-21,2014-11-17
HC1412.SHF,2014-03-21,2014-12-15
HC1501.SHF,2014-03-21,2015-01-15
HC1502.SHF,2014-03-21,2015-02-10
HC1503.SHF,2014-03-21,2015-03-16
HC1504.SHF,2014-04-16,2015-04-15
HC1505.SHF,2014-05-16,2015-05-15
HC1506.SHF,2014-06-17,2015-06-15
HC1507.SHF,2014-07-16,2015-07-15
HC1508.SHF,2014-08-18,2015-08-17
HC1509.SHF,2014-09-16,2015-09-15
HC1510.SHF,2014-10-16,2015-10-15
HC1511.SHF,2014-11-18,2015-11-16
HC1512.SHF,2014-12-16,2015-12-15
HC1601.SHF,2015-01-16,2016-01-15
HC1602.SHF,2015-02-16,2016-02-15
HC1603.SHF,2015-03-17,2016-03-15
HC1604.SHF,2015-04-16,2016-04-15
HC1605.SHF,2015-05-18,2016-05-16
HC1606.SHF,2015-06-16,2016-06-15
HC1607.SHF,2015-07-16,2016-07-15
HC1608.SHF,2015-08-18,2016-08-15
HC1609.SHF,2015-09-16,2016-09-19
HC1610.SHF,2015-10-16,2016-10-17
HC1611.SHF,2015-11-17,2016-11-15
HC1612.SHF,2015-12-16,2016-12-15
HC1701.SHF,2016-01-18,2017-01-16
HC1702.SHF,2016-02-16,2017-02-15
HC1703.SHF,2016-03-16,2017-03-15
HC1704.SHF,2016-04-18,2017-04-17
HC1705.SHF,2016-05-17,2017-05-15
HC1706.SHF,2016-06-16,2017-06-15
HC1707.SHF,2016-07-18,2017-07-17
HC1708.SHF,2016-08-16,2017-08-15
HC1709.SHF,2016-09-20,2017-09-15
HC1710.SHF,2016-10-18,2017-10-16
HC1711.SHF,2016-11-16,2017-11-15
HC1712.SHF,2016-12-16,2017-12-15
HC1801.SHF,2017-01-17,2018-01-15
HC1802.SHF,2017-02-16,2018-02-09
HC1803.SHF,2017-03-16,2018-03-15
HC1804.SHF,2017-04-18,2018-04-16
HC1805.SHF,2017-05-16,2018-05-15
HC1806.SHF,2017-06-16,2018-06-15
HC1807.SHF,2017-07-18,2018-07-16
HC1808.SHF,2017-08-16,2018-08-15
HC1809.SHF,2017-09-18,2018-09-17
HC1810.SHF,2017-10-17,2018-10-15
HC1811.SHF,2017-11-16,2018-11-15
HC1812.SHF,2017-12-18,2018-12-17
HC1901.SHF,2018-01-16,2019-01-15
HC1902.SHF,2018-02-12,2019-02-15
HC1903.SHF,2018-03-16,2019-03-15
HC1904.SHF,2018-04-17,2019-04-15
