,contract_issue_date,last_trade_date
RS1307.CZC,2012-12-28,2013-07-12
RS1308.CZC,2012-12-28,2013-08-14
RS1309.CZC,2012-12-28,2013-09-13
RS1311.CZC,2012-12-28,2013-11-14
RS1407.CZC,2013-07-15,2014-07-14
RS1408.CZC,2013-08-15,2014-08-14
RS1409.CZC,2013-09-16,2014-09-15
RS1411.CZC,2013-11-15,2014-11-14
RS1507.CZC,2014-07-15,2015-07-14
RS1508.CZC,2014-08-15,2015-08-14
RS1509.CZC,2014-09-16,2015-09-16
RS1511.CZC,2014-11-17,2015-11-13
RS607.CZC,2015-07-15,2016-07-14
RS608.CZC,2015-08-17,2016-08-12
RS609.CZC,2015-09-17,2016-09-14
RS611.CZC,2015-11-16,2016-11-14
RS707.CZC,2016-07-15,2017-07-14
RS708.CZC,2016-08-15,2017-08-14
RS709.CZC,2016-09-19,2017-09-14
RS711.CZC,2016-11-15,2017-11-14
RS807.CZC,2017-07-17,2018-07-13
RS808.CZC,2017-08-15,2018-08-14
RS809.CZC,2017-09-15,2018-09-14
RS811.CZC,2017-11-15,2018-11-14
