,contract_issue_date,last_trade_date
CY801.CZC,2017-08-18,2018-01-15
CY802.CZC,2017-08-18,2018-02-14
CY803.CZC,2017-08-18,2018-03-14
CY804.CZC,2017-08-18,2018-04-17
CY805.CZC,2017-08-18,2018-05-15
CY806.CZC,2017-08-18,2018-06-14
CY807.CZC,2017-08-18,2018-07-13
CY808.CZC,2017-08-18,2018-08-14
CY809.CZC,2017-09-15,2018-09-14
CY810.CZC,2017-10-23,2018-10-19
CY811.CZC,2017-11-15,2018-11-14
CY812.CZC,2017-12-15,2018-12-14
CY901.CZC,2018-01-16,2019-01-15
CY902.CZC,2018-02-22,2019-02-14
CY903.CZC,2018-03-15,2019-03-14
CY904.CZC,2018-04-18,2019-04-15
