,contract_issue_date,last_trade_date
AL1007.SHF,2009-07-16,2010-07-15
AL1008.SHF,2009-08-18,2010-08-16
AL1009.SHF,2009-09-16,2010-09-15
AL1010.SHF,2009-10-16,2010-10-15
AL1011.SHF,2009-11-17,2010-11-15
AL1012.SHF,2009-12-16,2010-12-15
AL1101.SHF,2010-01-18,2011-01-17
AL1102.SHF,2010-02-22,2011-02-15
AL1103.SHF,2010-03-16,2011-03-15
AL1104.SHF,2010-04-16,2011-04-15
AL1105.SHF,2010-05-18,2011-05-16
AL1106.SHF,2010-06-18,2011-06-15
AL1107.SHF,2010-07-16,2011-07-15
AL1108.SHF,2010-08-17,2011-08-15
AL1109.SHF,2010-09-16,2011-09-15
AL1110.SHF,2010-10-18,2011-10-17
AL1111.SHF,2010-11-16,2011-11-15
AL1112.SHF,2010-12-16,2011-12-15
AL1201.SHF,2011-01-18,2012-01-13
AL1202.SHF,2011-02-16,2012-02-15
AL1203.SHF,2011-03-16,2012-03-15
AL1204.SHF,2011-04-18,2012-04-16
AL1205.SHF,2011-05-17,2012-05-15
AL1206.SHF,2011-06-16,2012-06-15
AL1207.SHF,2011-07-18,2012-07-16
AL1208.SHF,2011-08-16,2012-08-15
AL1209.SHF,2011-09-16,2012-09-17
AL1210.SHF,2011-10-18,2012-10-15
AL1211.SHF,2011-11-16,2012-11-15
AL1212.SHF,2011-12-16,2012-12-17
AL1301.SHF,2012-01-16,2013-01-15
AL1302.SHF,2012-02-16,2013-02-18
AL1303.SHF,2012-03-16,2013-03-15
AL1304.SHF,2012-04-17,2013-04-15
AL1305.SHF,2012-05-16,2013-05-15
AL1306.SHF,2012-06-18,2013-06-17
AL1307.SHF,2012-07-17,2013-07-15
AL1308.SHF,2012-08-16,2013-08-15
AL1309.SHF,2012-09-18,2013-09-16
AL1310.SHF,2012-10-16,2013-10-15
AL1311.SHF,2012-11-16,2013-11-15
AL1312.SHF,2012-12-18,2013-12-16
AL1401.SHF,2013-01-16,2014-01-15
AL1402.SHF,2013-02-19,2014-02-17
AL1403.SHF,2013-03-18,2014-03-17
AL1404.SHF,2013-04-16,2014-04-15
AL1405.SHF,2013-05-16,2014-05-15
AL1406.SHF,2013-06-18,2014-06-16
AL1407.SHF,2013-07-16,2014-07-15
AL1408.SHF,2013-08-16,2014-08-15
AL1409.SHF,2013-09-17,2014-09-15
AL1410.SHF,2013-10-16,2014-10-15
AL1411.SHF,2013-11-18,2014-11-17
AL1412.SHF,2013-12-17,2014-12-15
AL1501.SHF,2014-01-16,2015-01-15
AL1502.SHF,2014-02-18,2015-02-10
AL1503.SHF,2014-03-18,2015-03-16
AL1504.SHF,2014-04-16,2015-04-15
AL1505.SHF,2014-05-16,2015-05-15
AL1506.SHF,2014-06-17,2015-06-15
AL1507.SHF,2014-07-16,2015-07-15
AL1508.SHF,2014-08-18,2015-08-17
AL1509.SHF,2014-09-16,2015-09-15
AL1510.SHF,2014-10-16,2015-10-15
AL1511.SHF,2014-11-18,2015-11-16
AL1512.SHF,2014-12-16,2015-12-15
AL1601.SHF,2015-01-16,2016-01-15
AL1602.SHF,2015-02-16,2016-02-15
AL1603.SHF,2015-03-17,2016-03-15
AL1604.SHF,2015-04-16,2016-04-15
AL1605.SHF,2015-05-18,2016-05-16
AL1606.SHF,2015-06-16,2016-06-15
AL1607.SHF,2015-07-16,2016-07-15
AL1608.SHF,2015-08-18,2016-08-15
AL1609.SHF,2015-09-16,2016-09-19
AL1610.SHF,2015-10-16,2016-10-17
