,contract_issue_date,last_trade_date
RU9901.SHF,1998-07-21,1999-01-15
RU9903.SHF,1998-08-25,1999-03-15
RU9904.SHF,1998-09-30,1999-04-15
RU9905.SHF,1998-09-30,1999-05-17
RU9906.SHF,1998-09-30,1999-06-15
RU9907.SHF,1998-11-27,1999-07-15
RU9908.SHF,1998-11-27,1999-08-16
RU9909.SHF,1999-05-04,1999-09-15
RU9910.SHF,1999-05-04,1999-10-15
RU9911.SHF,1999-05-17,1999-11-15
RU0001.SHF,1999-05-04,2000-01-17
RU0003.SHF,1999-07-30,2000-03-15
RU0004.SHF,1999-09-21,2000-04-17
RU0005.SHF,1999-10-19,2000-05-15
RU0006.SHF,1999-11-02,2000-06-15
RU0007.SHF,1999-11-24,2000-07-17
RU0008.SHF,2000-01-21,2000-08-15
RU0009.SHF,1999-11-25,2000-09-15
RU0010.SHF,2000-03-07,2000-10-16
RU0011.SHF,2000-03-10,2000-11-15
RU0101.SHF,2000-05-26,2001-01-15
RU0103.SHF,2000-07-24,2001-03-15
RU0104.SHF,2000-07-28,2001-04-16
RU0105.SHF,2000-08-08,2001-05-15
RU0106.SHF,2000-09-25,2001-06-15
RU0107.SHF,2000-09-26,2001-07-16
RU0108.SHF,2000-10-26,2001-08-15
RU0109.SHF,2000-11-24,2001-09-17
RU0110.SHF,2000-12-20,2001-10-15
RU0111.SHF,2001-06-27,2001-11-15
RU0201.SHF,2001-07-17,2002-01-15
RU0203.SHF,2001-09-19,2002-03-15
RU0204.SHF,2001-12-13,2002-04-15
RU0205.SHF,2001-12-27,2002-05-15
RU0206.SHF,2002-03-04,2002-06-17
RU0207.SHF,2002-03-29,2002-07-15
RU0208.SHF,2002-03-29,2002-08-15
RU0209.SHF,2002-05-08,2002-09-16
RU0210.SHF,2002-05-28,2002-10-15
RU0211.SHF,2002-05-28,2002-11-15
RU0301.SHF,2002-06-05,2003-01-15
RU0303.SHF,2002-06-18,2003-03-17
RU0304.SHF,2002-07-12,2003-04-15
RU0305.SHF,2002-07-12,2003-05-15
RU0306.SHF,2002-07-12,2003-06-16
RU0307.SHF,2002-09-11,2003-07-15
RU0308.SHF,2002-10-28,2003-08-15
RU0309.SHF,2002-10-11,2003-09-15
RU0310.SHF,2002-12-12,2003-10-15
RU0311.SHF,2002-12-10,2003-11-17
RU0401.SHF,2003-01-16,2004-01-15
RU0403.SHF,2003-03-18,2004-03-15
RU0404.SHF,2003-04-16,2004-04-15
RU0405.SHF,2003-05-16,2004-05-17
RU0406.SHF,2003-06-17,2004-06-15
RU0407.SHF,2003-07-16,2004-07-15
RU0408.SHF,2003-08-18,2004-08-16
RU0409.SHF,2003-09-16,2004-09-15
RU0410.SHF,2003-10-16,2004-10-15
RU0411.SHF,2003-11-18,2004-11-15
RU0501.SHF,2004-01-16,2005-01-17
RU0503.SHF,2004-03-16,2005-03-15
RU0504.SHF,2004-04-16,2005-04-15
RU0505.SHF,2004-05-18,2005-05-16
RU0506.SHF,2004-06-16,2005-06-15
RU0507.SHF,2004-07-16,2005-07-15
RU0508.SHF,2004-08-17,2005-08-15
RU0509.SHF,2004-09-16,2005-09-15
RU0510.SHF,2004-10-18,2005-10-17
RU0511.SHF,2004-11-16,2005-11-15
RU0601.SHF,2005-01-18,2006-01-16
RU0603.SHF,2005-03-16,2006-03-15
RU0604.SHF,2005-04-18,2006-04-17
RU0605.SHF,2005-05-17,2006-05-15
RU0606.SHF,2005-06-16,2006-06-15
RU0607.SHF,2005-07-18,2006-07-17
RU0608.SHF,2005-08-16,2006-08-15
RU0609.SHF,2005-09-16,2006-09-15
RU0610.SHF,2005-10-18,2006-10-16
RU0611.SHF,2005-11-16,2006-11-15
RU0701.SHF,2006-01-17,2007-01-15
RU0703.SHF,2006-03-16,2007-03-15
RU0704.SHF,2006-04-18,2007-04-16
RU0705.SHF,2006-05-16,2007-05-15
RU0706.SHF,2006-06-16,2007-06-15
RU0707.SHF,2006-07-18,2007-07-16
RU0708.SHF,2006-08-16,2007-08-15
RU0709.SHF,2006-09-18,2007-09-17
RU0710.SHF,2006-10-17,2007-10-15
RU0711.SHF,2006-11-16,2007-11-15
RU0801.SHF,2007-01-16,2008-01-15
RU0803.SHF,2007-03-16,2008-03-17
RU0804.SHF,2007-04-17,2008-04-15
RU0805.SHF,2007-05-16,2008-05-15
RU0806.SHF,2007-06-18,2008-06-16
RU0807.SHF,2007-07-17,2008-07-15
RU0808.SHF,2007-08-16,2008-08-15
RU0809.SHF,2007-09-18,2008-09-16
RU0810.SHF,2007-10-16,2008-10-15
RU0811.SHF,2007-11-16,2008-11-17
RU0901.SHF,2008-01-16,2009-01-15
