,contract_issue_date,last_trade_date
SF1411.CZC,2014-08-08,2014-11-14
SF1412.CZC,2014-08-08,2014-12-12
SF1501.CZC,2014-08-08,2015-01-16
SF1502.CZC,2014-08-08,2015-02-13
SF1503.CZC,2014-08-08,2015-03-13
SF1504.CZC,2014-08-08,2015-04-15
SF1505.CZC,2014-08-08,2015-05-15
SF1506.CZC,2014-08-08,2015-06-12
SF1507.CZC,2014-08-08,2015-07-14
SF1508.CZC,2014-08-15,2015-08-14
SF1509.CZC,2014-09-16,2015-09-16
SF1510.CZC,2014-10-22,2015-10-21
SF1511.CZC,2014-11-17,2015-11-13
SF1512.CZC,2014-12-15,2015-12-14
SF1601.CZC,2015-01-19,2016-01-15
SF1602.CZC,2015-02-16,2016-02-19
SF1603.CZC,2015-03-16,2016-03-14
SF1604.CZC,2015-04-16,2016-04-15
SF1605.CZC,2015-05-18,2016-05-16
SF1606.CZC,2015-06-15,2016-06-16
SF607.CZC,2015-07-15,2016-07-14
SF608.CZC,2015-08-17,2016-08-12
SF609.CZC,2015-09-17,2016-09-14
SF610.CZC,2015-10-22,2016-10-21
SF611.CZC,2015-11-16,2016-11-14
SF612.CZC,2015-12-15,2016-12-14
SF701.CZC,2016-01-18,2017-01-16
SF702.CZC,2016-02-22,2017-02-16
SF703.CZC,2016-03-15,2017-03-14
SF704.CZC,2016-04-18,2017-04-18
SF705.CZC,2016-05-17,2017-05-15
SF706.CZC,2016-06-17,2017-06-14
SF707.CZC,2016-07-15,2017-07-14
SF708.CZC,2016-08-15,2017-08-14
SF709.CZC,2016-09-19,2017-09-14
SF710.CZC,2016-10-24,2017-10-20
SF711.CZC,2016-11-15,2017-11-14
SF712.CZC,2016-12-15,2017-12-14
SF801.CZC,2017-01-17,2018-01-15
SF802.CZC,2017-02-17,2018-02-14
SF803.CZC,2017-03-15,2018-03-14
SF804.CZC,2017-04-19,2018-04-17
SF805.CZC,2017-05-16,2018-05-15
SF806.CZC,2017-06-15,2018-06-14
SF807.CZC,2017-07-17,2018-07-13
SF808.CZC,2017-08-15,2018-08-14
SF809.CZC,2017-09-15,2018-09-14
SF810.CZC,2017-10-23,2018-10-19
SF811.CZC,2017-11-15,2018-11-14
SF812.CZC,2017-12-15,2018-12-14
SF901.CZC,2018-01-16,2019-01-15
SF902.CZC,2018-02-22,2019-02-14
SF903.CZC,2018-03-15,2019-03-14
SF904.CZC,2018-04-18,2019-04-15
